,# train,%corr inp,# un train,# clus inp,# fram inp,# gen fram inp,# out,%corr out,# un out,# clus out,# fram out,# gen fram out,% new str,% new fram,% new gen fram
1,50000.0,100.0,50000.0,41799.0,35450.0,48902.0,20000.0,94.94,15344.0,11025.0,9212.0,14313.0,40.58,69.6,86.45
2,100000.0,100.0,100000.0,77318.0,64749.0,95904.0,20000.0,96.12,13813.0,9311.0,7424.0,12481.0,34.21,64.57,83.74
3,150000.0,100.0,150000.0,109303.0,91220.0,141614.0,20000.0,93.66,14853.0,10803.0,9257.0,13869.0,32.83,61.89,80.14
4,200000.0,100.0,200000.0,139145.0,115765.0,186034.0,20000.0,96.86,14547.0,9448.0,8266.0,13072.0,25.89,61.93,80.19
5,250000.0,100.0,250000.0,167501.0,139207.0,229387.0,20000.0,96.83,13454.0,8574.0,7299.0,12130.0,22.46,56.58,76.55
6,300000.0,100.0,300000.0,194527.0,161518.0,271997.0,20000.0,96.02,14667.0,10090.0,8488.0,13440.0,24.03,56.77,73.14
